NamaSPPG,Alamat,Tanggal Opsnal,Provinsi,wilayah,Nama Kepala,Nama Yayasan,Alamat_lengkap
SPPG  Kerinci Gunung Raya Lempur Tengah,"Jl. Raya Lempur Tengah Kecamatan Gunung Raya, Lempur Tengah, Gunung Raya, Kab. Kerinci, Jambi",01-09-2025,JAMBI,Wilayah I,Pujiana,,"Kerinci Gunung Raya Lempur Tengah Jl. Raya Lempur Tengah Kecamatan Gunung Raya, Lempur Tengah, Gunung Raya, Kab. Kerinci, Jambi JAMBI"
SPPG  Kerinci Kayu Aro Mekar Jaya,"Jl. Lintas Sungai Tanduk, Mekar RT 06",11-08-2025,JAMBI,Wilayah I,Devin Wiranda,,"Kerinci Kayu Aro Mekar Jaya Jl. Lintas Sungai Tanduk, Mekar RT 06 JAMBI"
SPPG  Merangin Margo Tabir Suko Rejo,"Jl. Poros Margoyoso Hitam Ulu Suko Rejo Rt. 04 Rw. 01 Desa Suko Rejo, Kecamatan Margo Tabir, Kabupaten Merangin Provinsi Jambi",24-09-2025,JAMBI,Wilayah I,Lutfia Nur Ihsani,,"Merangin Margo Tabir Suko Rejo Jl. Poros Margoyoso Hitam Ulu Suko Rejo Rt. 04 Rw. 01 Desa Suko Rejo, Kecamatan Margo Tabir, Kabupaten Merangin Provinsi Jambi JAMBI"
SPPG  Muaro Jambi Sungai Bahar Mekar Sari Makmur,"Simpang Yanto, RT 009, Desa Suka Makmur, Kecamatan Sungai Bahar, Kabupaten Muaro Jambi, Provinsi Jambi",21-08-2025,JAMBI,Wilayah I,Hardiansyah,,"Muaro Jambi Sungai Bahar Mekar Sari Makmur Simpang Yanto, RT 009, Desa Suka Makmur, Kecamatan Sungai Bahar, Kabupaten Muaro Jambi, Provinsi Jambi JAMBI"
SPPG  Rokan Hilir Bangko Pusako Bangko Permata,"Jl. Lintas Sumatera Km 7 Bangko Permata, Kec Bangko Pusako Rokan Hilir, Bangko Permata, Bangko Pusako, Kab. Rokan Hilir, Riau",12-09-2025,RIAU,Wilayah I,Dimas Malik Suryanda,,"Rokan Hilir Bangko Pusako Bangko Permata Jl. Lintas Sumatera Km 7 Bangko Permata, Kec Bangko Pusako Rokan Hilir, Bangko Permata, Bangko Pusako, Kab. Rokan Hilir, Riau RIAU"
SPPG  Rokan Hilir Tanah Putih Banjar XII 2,"Jl. Lintas Riau Sumut Kel. Banjar Xii Km 167 Kecamatan Tanah Putih Kabupaten Rohil, Riau",11-10-2025,RIAU,Wilayah I,Arie Aidil Fajar,,"Rokan Hilir Tanah Putih Banjar XII 2 Jl. Lintas Riau Sumut Kel. Banjar Xii Km 167 Kecamatan Tanah Putih Kabupaten Rohil, Riau RIAU"
SPPG  Rokan Hulu Tambusai Sungai Kumango,"Jl. Lintas Provinsi Riau-Sumatera Utara, Sungai Kumango, Kec. Tambusai, Kab. Rokan Hulu, Riau",07-10-2025,RIAU,Wilayah I,Manado Panjaitan,,"Rokan Hulu Tambusai Sungai Kumango Jl. Lintas Provinsi Riau-Sumatera Utara, Sungai Kumango, Kec. Tambusai, Kab. Rokan Hulu, Riau RIAU"
SPPG  Rokan Hulu Tambusai Utara Mahato,"Dusun XIV, Desa Suka Damai, Desa Mahato, RT 001/RW 001, Kecamatan Tambusai Utara, Kabupaten Rokan Hulu, Provinsi Riau",11-08-2025,RIAU,Wilayah I,Sugiati,,"Rokan Hulu Tambusai Utara Mahato Dusun XIV, Desa Suka Damai, Desa Mahato, RT 001/RW 001, Kecamatan Tambusai Utara, Kabupaten Rokan Hulu, Provinsi Riau RIAU"
SPPG  Rokan Hulu Tambusai Utara Mahato 2,"Jl. Poros Rantau Kasai Desa Mahato Km. 11 Kecamatan Tambusai Utara Kabupaten Rokan Hulu, Riau",06-10-2025,RIAU,Wilayah I,Asrol Fickri,,"Rokan Hulu Tambusai Utara Mahato 2 Jl. Poros Rantau Kasai Desa Mahato Km. 11 Kecamatan Tambusai Utara Kabupaten Rokan Hulu, Riau RIAU"
SPPG  Rokan Hulu Tandun Dayo,"Jl. Raya Bukit Suligi No.143 Dusun Tanjung Harapan Rt/Rw 005/001 Desa Dayo Kecamatan Tandun Kabupaten Rokan Hulu, Riau",30-09-2025,RIAU,Wilayah I,Herman Yosef Yakian Mendrofa,,"Rokan Hulu Tandun Dayo Jl. Raya Bukit Suligi No.143 Dusun Tanjung Harapan Rt/Rw 005/001 Desa Dayo Kecamatan Tandun Kabupaten Rokan Hulu, Riau RIAU"
SPPG  Rokan Hulu Tandun Tandun,"Jalan Lintas Riau, Desa Kukun, Kecamatan Tandun, Kabupaten Rokan Hulu, Provinsi Riau",11-08-2025,RIAU,Wilayah I,Niatul Istiana,,"Rokan Hulu Tandun Tandun Jalan Lintas Riau, Desa Kukun, Kecamatan Tandun, Kabupaten Rokan Hulu, Provinsi Riau RIAU"
SPPG Aceh Barat Daya Susoh Tangah,"Jl. Baru, Desa Tangah Kec, Susoh, Aceh Barat Daya, Tangah, Susoh, Kab. Aceh Barat Daya, Aceh",10-09-2025,ACEH,Wilayah I,Irwan Rizky,,"Aceh Barat Daya Susoh Tangah Jl. Baru, Desa Tangah Kec, Susoh, Aceh Barat Daya, Tangah, Susoh, Kab. Aceh Barat Daya, Aceh ACEH"
SPPG Aceh Barat Daya Tangan-Tangan Padang Bak Jeumpa,"Jl. Tapaktuan-Meulaboh. Desa Padang Bak Jeumpa. Kecamatan Tangan-Tangan. Kabupaten Aceh Barat Daya , Padang Bak Jeumpa, Tangan-Tangan, Kab. Aceh Barat Daya, Aceh",03-09-2025,ACEH,Wilayah I,Agus Fadly,,"Aceh Barat Daya Tangan-Tangan Padang Bak Jeumpa Jl. Tapaktuan-Meulaboh. Desa Padang Bak Jeumpa. Kecamatan Tangan-Tangan. Kabupaten Aceh Barat Daya , Padang Bak Jeumpa, Tangan-Tangan, Kab. Aceh Barat Daya, Aceh ACEH"
SPPG Aceh Besar Montasik Teubang Phui Mesjid,"Jl. Montasik Cot Goh Desa Teubang Phui Mesjid, Kec. Montasik, Kab. Aceh Besar Prov. Aceh, Teubang Phui Mesjid, Montasik, Kab. Aceh Besar, Aceh",19-09-2025,ACEH,Wilayah I,Andri Saputra,,"Aceh Besar Montasik Teubang Phui Mesjid Jl. Montasik Cot Goh Desa Teubang Phui Mesjid, Kec. Montasik, Kab. Aceh Besar Prov. Aceh, Teubang Phui Mesjid, Montasik, Kab. Aceh Besar, Aceh ACEH"
SPPG Aceh Selatan Labuhanhaji Tengah Baru,Jl. Nasional Tapaktuan-Meulaboh Gampong Tengah Baru Kec. Labuhan Haji Kabupaten Aceh Selatan.,13-09-2025,ACEH,Wilayah I,Wildan,,Aceh Selatan Labuhanhaji Tengah Baru Jl. Nasional Tapaktuan-Meulaboh Gampong Tengah Baru Kec. Labuhan Haji Kabupaten Aceh Selatan. ACEH
SPPG Aceh Selatan Meukek Lhok Aman,"Jl. Nasional Tapaktuan Meulaboh Desa Lhok Aman Kec Meukek Kab Aceh Selatan, Lhok Aman, Meukek, Kab. Aceh Selatan, Aceh",01-10-2025,ACEH,Wilayah I,Novri Yanda. S.T.,,"Aceh Selatan Meukek Lhok Aman Jl. Nasional Tapaktuan Meulaboh Desa Lhok Aman Kec Meukek Kab Aceh Selatan, Lhok Aman, Meukek, Kab. Aceh Selatan, Aceh ACEH"
SPPG Aceh Tengah Bebesen Simpang IV,Lorong Petue Kucak Desa Simpang Empat Reje Bukit Kecamatan Bebesen Kabupaten Aceh Tengah,25-09-2025,ACEH,Wilayah I,Muhammad Ghazie Makhmud,,Aceh Tengah Bebesen Simpang IV Lorong Petue Kucak Desa Simpang Empat Reje Bukit Kecamatan Bebesen Kabupaten Aceh Tengah ACEH
SPPG Aceh Tengah Bies Simpang Uning Niken,"Desa Uning Niken, Kecamatan Bies, Kabupaten Aceh Tengah, Kode Pos 24561, Provinsi Aceh",23-08-2025,ACEH,Wilayah I,Mahara Miko,,"Aceh Tengah Bies Simpang Uning Niken Desa Uning Niken, Kecamatan Bies, Kabupaten Aceh Tengah, Kode Pos 24561, Provinsi Aceh ACEH"
SPPG Aceh Tengah Kebayakan Pinangan,"lr.Pengulu Bersah Dusun Prumnas Pinangan Desa Pinangan,Kec.Kebayakan,Kab.Aceh Tengah,Prov.Aceh",04-10-2025,ACEH,Wilayah I,Ilham Firmanda,,"Aceh Tengah Kebayakan Pinangan lr.Pengulu Bersah Dusun Prumnas Pinangan Desa Pinangan,Kec.Kebayakan,Kab.Aceh Tengah,Prov.Aceh ACEH"
SPPG Aceh Tengah Pegasing Gelelungi,Jl. Takengon-Atu Lintang Desa Gelelungi Kecamatan Pegasing Kabupaten Aceh Tengah,26-08-2025,ACEH,Wilayah I,Najla` Mafirja,,Aceh Tengah Pegasing Gelelungi Jl. Takengon-Atu Lintang Desa Gelelungi Kecamatan Pegasing Kabupaten Aceh Tengah ACEH
SPPG Aceh Timur Idi Rayeuk Keude Blang,"Jl. Idi Keude Blang Desa Keude Blang Kec. Idi Rayeuk Kab. Aceh Timur, Keude Blang, Idi Rayeuk, Kab. Aceh Timur, Aceh",08-09-2025,ACEH,Wilayah I,Abdi Mulya,,"Aceh Timur Idi Rayeuk Keude Blang Jl. Idi Keude Blang Desa Keude Blang Kec. Idi Rayeuk Kab. Aceh Timur, Keude Blang, Idi Rayeuk, Kab. Aceh Timur, Aceh ACEH"
SPPG Aceh Timur Peunaron Peunaron Baru,"Jl. Peu.reulak - Blang Kejeren, Dusun Harapan Jaya, Desa
Peunaron Baru, Kecamatan Peunaron, Kabupaten Aceh Timur,
Peunaron Baru, Peunaron, Kab. Aceh Timur, Aceh",08-09-2025,ACEH,Wilayah I,Firdaus,,"Aceh Timur Peunaron Peunaron Baru Jl. Peu.reulak - Blang Kejeren, Dusun Harapan Jaya, Desa
Peunaron Baru, Kecamatan Peunaron, Kabupaten Aceh Timur,
Peunaron Baru, Peunaron, Kab. Aceh Timur, Aceh ACEH"
SPPG Aceh Timur Peureulak Uteun Dama,"Desa Leuge Kec. Peureulak Kab. Aceh Timur Prov. Aceh, Leuge, Peureulak, Kab. Aceh Timur, Aceh",08-09-2025,ACEH,Wilayah I,Juriadi,,"Aceh Timur Peureulak Uteun Dama Desa Leuge Kec. Peureulak Kab. Aceh Timur Prov. Aceh, Leuge, Peureulak, Kab. Aceh Timur, Aceh ACEH"
SPPG Aceh Utara Dewantara Paloh Igeuh,"Jalan Elak, Paloh Igeuh, Kecamatan Dewantara, Kabupaten Aceh Utara, Provinsi Aceh",23-08-2025,ACEH,Wilayah I,Rizqan Sabena Putera,,"Aceh Utara Dewantara Paloh Igeuh Jalan Elak, Paloh Igeuh, Kecamatan Dewantara, Kabupaten Aceh Utara, Provinsi Aceh ACEH"
SPPG Aceh Utara Seunuddon Matang Karieng,"Jl. Pante Breuh Ulee Rubek, Desa Matang Karieng, Kecamatan Seunuddon, Kabupaten Aceh Utara",17-02-2025,ACEH,Wilayah I,"Muhammad Sayuti, S.Sos",Yayasan Nasabe Pangan Bergizi,"Aceh Utara Seunuddon Matang Karieng Jl. Pante Breuh Ulee Rubek, Desa Matang Karieng, Kecamatan Seunuddon, Kabupaten Aceh Utara ACEH"
SPPG Aceh Utara Syamtalira Aron Keude Teupin Punti,"Jl. Hakim Krueng, Lorong Paya Pawang, Gampong Mesjid Teupin Punti, Kecamatan Syamtalira Aron, Kabupaten Aceh Utara, Aceh",11-10-2025,ACEH,Wilayah I,Arief Maulana,,"Aceh Utara Syamtalira Aron Keude Teupin Punti Jl. Hakim Krueng, Lorong Paya Pawang, Gampong Mesjid Teupin Punti, Kecamatan Syamtalira Aron, Kabupaten Aceh Utara, Aceh ACEH"
SPPG Agam Tanjung Raya Maninjau,Jl. Padang Lua Maninjau No 23 Kelurahan Desa Maninjau Kecamatan Tanjung Raya Kabupaten Agam Sumatera Barat,25-09-2025,SUMATERA BARAT,Wilayah I,Fachrul Rozi,,Agam Tanjung Raya Maninjau Jl. Padang Lua Maninjau No 23 Kelurahan Desa Maninjau Kecamatan Tanjung Raya Kabupaten Agam Sumatera Barat SUMATERA BARAT
SPPG Alor Alor Timur Laut Nailang,"Sidongkomang RT.008/ RW.004. Desa Nailang, Kecamatan Alor Timur Laut. Alor - NTT",18-08-2025,NUSA TENGGARA TIMUR,Wilayah III,Maria Petronela Kamengmai,,"Alor Alor Timur Laut Nailang Sidongkomang RT.008/ RW.004. Desa Nailang, Kecamatan Alor Timur Laut. Alor - NTT NUSA TENGGARA TIMUR"
SPPG Asahan Sei Dadap Sei Alim Hasak 2,"`Dusun I Kel. Sei Alim Asak, Kec. Sei Dadap, Kab. Asahan, Sumut , Sei Alim Hasak, Sei Dadap, Kab. Asahan, Sumatera Utara`",29-08-2025,SUMATERA UTARA,Wilayah I,Novi Ismaliza Siregar,,"Asahan Sei Dadap Sei Alim Hasak 2 `Dusun I Kel. Sei Alim Asak, Kec. Sei Dadap, Kab. Asahan, Sumut , Sei Alim Hasak, Sei Dadap, Kab. Asahan, Sumatera Utara` SUMATERA UTARA"
SPPG Asmat Agats Bis Agats,"Jl. Mimika, Samping Puskesmas Agats, Desa Bis Agats, Kecamatan Agats, Kabupaten Asmat, Provinsi Papua",17-10-2025,PAPUA SELATAN,Wilayah III,Halima Sadat,,"Asmat Agats Bis Agats Jl. Mimika, Samping Puskesmas Agats, Desa Bis Agats, Kecamatan Agats, Kabupaten Asmat, Provinsi Papua PAPUA SELATAN"
SPPG Bandung Barat Cipongkor Cijenuk,"Kampung Pasirteureup Rt.002/Rw.003, Desa Cijenuk, Kec. Cipongkor, Kab. Bandung Barat",28-09-2025,JAWA BARAT,Wilayah II,Yusuf Hidayatulloh,,"Bandung Barat Cipongkor Cijenuk Kampung Pasirteureup Rt.002/Rw.003, Desa Cijenuk, Kec. Cipongkor, Kab. Bandung Barat JAWA BARAT"
SPPG Bandung Cicalengka Narawita,Kampung Cilame Rt 01/ Rw 13 Ds. Narawita Kec. Cicalengka Kab. Bandung  Kode Pos,17-09-2025,JAWA BARAT,Wilayah II,Luky Apriyana Mahesa,,Bandung Cicalengka Narawita Kampung Cilame Rt 01/ Rw 13 Ds. Narawita Kec. Cicalengka Kab. Bandung  Kode Pos JAWA BARAT
SPPG Bandung Pasirjambu Cukanggenteng,"Jl. Raya Soreang Ciwidey Km 27 Rt 04 Rw 01, Desa Cukanggenteng, Kec. Pasirjambu, Kab Bandung, Jawa&amp;amp;amp;amp;amp;amp;nbsp;Barat. 40972",01-09-2025,JAWA BARAT,Wilayah II,Bagas Dwi Nugroho,,"Bandung Pasirjambu Cukanggenteng Jl. Raya Soreang Ciwidey Km 27 Rt 04 Rw 01, Desa Cukanggenteng, Kec. Pasirjambu, Kab Bandung, Jawa&amp;amp;amp;amp;amp;amp;nbsp;Barat. 40972 JAWA BARAT"
SPPG Bandung Rancaekek Rancaekek Wetan,JL. Nusa Indah Raya No. 57 B Rt 04 Rw 21 Desa Rancaekek Wetan Kec Rancaekek Kab.&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;nbsp;Bandung&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;nbsp;Jawa Barat 40394,13-01-2025,JAWA BARAT,Wilayah II,Shifa Aulia,Yayasan Buana Insan Madani,Bandung Rancaekek Rancaekek Wetan JL. Nusa Indah Raya No. 57 B Rt 04 Rw 21 Desa Rancaekek Wetan Kec Rancaekek Kab.&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;nbsp;Bandung&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;nbsp;Jawa Barat 40394 JAWA BARAT
SPPG Banggai Laut Banggai Dodung,"Jalan R Tadja No.2, Dodung, Kecamatan Banggai, Kabupaten Banggai Laut, Sulawesi Tengah, DODUNG, BANGGAI, KAB. BANGGAI LAUT, SULAWESI TENGAH",19-08-2025,SULAWESI TENGAH,Wilayah III,Trisno,,"Banggai Laut Banggai Dodung Jalan R Tadja No.2, Dodung, Kecamatan Banggai, Kabupaten Banggai Laut, Sulawesi Tengah, DODUNG, BANGGAI, KAB. BANGGAI LAUT, SULAWESI TENGAH SULAWESI TENGAH"
SPPG Banggai Toili Barat Bukit Makarti,"Jl. Trans Sulawesi RT 001 RW 001, Desa Bukit Makarti, Kecamatan Toili Barat, Kabupaten Banggai, Provinsi Sulawesi Tengah",22-09-2025,SULAWESI TENGAH,Wilayah III,Ferry Aprizal,,"Banggai Toili Barat Bukit Makarti Jl. Trans Sulawesi RT 001 RW 001, Desa Bukit Makarti, Kecamatan Toili Barat, Kabupaten Banggai, Provinsi Sulawesi Tengah SULAWESI TENGAH"
SPPG Banggai Toili Cendana,"Jalan Poros Jaya Kencana (Samping Bank BRI Unit 10), Kelurahan Cendana, Kecamatan Toili, Kabupaten Banggai, Provinsi Sulawesi Tengah",19-08-2025,SULAWESI TENGAH,Wilayah III,Shella Annisa Brianthy,,"Banggai Toili Cendana Jalan Poros Jaya Kencana (Samping Bank BRI Unit 10), Kelurahan Cendana, Kecamatan Toili, Kabupaten Banggai, Provinsi Sulawesi Tengah SULAWESI TENGAH"
SPPG Bangkalan Burneh Alaskembang,"Dusun Kampek Barat, Desa Alaskembang, Kecamatan Burneh, Kabpuaten Bangkalan, Jawa Timur",18-09-2025,JAWA TIMUR,Wilayah II,Adli Dzil Ikram,,"Bangkalan Burneh Alaskembang Dusun Kampek Barat, Desa Alaskembang, Kecamatan Burneh, Kabpuaten Bangkalan, Jawa Timur JAWA TIMUR"
SPPG Bangkalan Kokop Durjan,Jl. Raya Bamasar Desa Durjan Kecamatan Kokop Kabupaten Bangkalan Provinsi Jawa Timur,23-09-2025,JAWA TIMUR,Wilayah II,Rauzah,,Bangkalan Kokop Durjan Jl. Raya Bamasar Desa Durjan Kecamatan Kokop Kabupaten Bangkalan Provinsi Jawa Timur JAWA TIMUR
SPPG Bangkalan Kokop Tlokoh,"Dusun Tlokoh Onjur RT 000/RW 000, Desa Tlokoh, Kecamatan Kokop, Kabupaten Bangkalan, Provinsi Jawa Timur 69155",29-07-2025,JAWA TIMUR,Wilayah II,Ismail,,"Bangkalan Kokop Tlokoh Dusun Tlokoh Onjur RT 000/RW 000, Desa Tlokoh, Kecamatan Kokop, Kabupaten Bangkalan, Provinsi Jawa Timur 69155 JAWA TIMUR"
SPPG Bangli Bangli Cempaga,"Jl. Tamansari, Banjar Sidembunut, Kelurahan Cempaga, Kecamatan Bangli, Kabupaten Bangli, Cempaga, Bangli, Kab. Bangli, Bali",02-09-2025,BALI,Wilayah III,Liestia Nur Afifah,,"Bangli Bangli Cempaga Jl. Tamansari, Banjar Sidembunut, Kelurahan Cempaga, Kecamatan Bangli, Kabupaten Bangli, Cempaga, Bangli, Kab. Bangli, Bali BALI"
SPPG Banjarnegara Batur Bakal,"Jl. Ds Dsn 2 Kp Desa Bakal Rt 001 Rw 002 Kec Batur Kab Banjarnegara Jateng, Bakal, Batur, Kab. Banjarnegara, Jawa Tengah",23-09-2025,JAWA TENGAH,Wilayah II,Faza Ainun Naufal,,"Banjarnegara Batur Bakal Jl. Ds Dsn 2 Kp Desa Bakal Rt 001 Rw 002 Kec Batur Kab Banjarnegara Jateng, Bakal, Batur, Kab. Banjarnegara, Jawa Tengah JAWA TENGAH"
SPPG Banjarnegara Mandiraja Mandiraja Wetan,"Dusun Krajan, Rt 05/02, Desa Mandiraja Wetan, Kec. Mandiraja, Banjarnegara Jawa Tengah , Mandiraja Wetan, Mandiraja, Kab. Banjarnegara, Jawa Tengah",03-09-2025,JAWA TENGAH,Wilayah II,Muammar Yasir Husain,,"Banjarnegara Mandiraja Mandiraja Wetan Dusun Krajan, Rt 05/02, Desa Mandiraja Wetan, Kec. Mandiraja, Banjarnegara Jawa Tengah , Mandiraja Wetan, Mandiraja, Kab. Banjarnegara, Jawa Tengah JAWA TENGAH"
SPPG Banjarnegara Purwanegara Karanganyar,"Dusun Karang Anyar, Rt 02/03, Desa Karang Anyar, Kecamatan Purwanegara, Kabupaten Banjarnegara, Jawa Tengah",13-10-2025,JAWA TENGAH,Wilayah II,Januar Bagas Wijanarko,,"Banjarnegara Purwanegara Karanganyar Dusun Karang Anyar, Rt 02/03, Desa Karang Anyar, Kecamatan Purwanegara, Kabupaten Banjarnegara, Jawa Tengah JAWA TENGAH"
SPPG Banjarnegara Wanadadi Linggasari,"Dusun Linggamerta, RT002  RW 001, Desa Linggasari, Kecamatan Wanadadi, Kabupaten Banjarnegara, Provinsi Jawa Tengah",23-06-2025,JAWA TENGAH,Wilayah II,Indra Setiawan,Yayasan Pikas Edu Kreata,"Banjarnegara Wanadadi Linggasari Dusun Linggamerta, RT002  RW 001, Desa Linggasari, Kecamatan Wanadadi, Kabupaten Banjarnegara, Provinsi Jawa Tengah JAWA TENGAH"
SPPG Bantaeng Pajukukang Pa`jukukang,"Jalan Pemukiman Kampung Toa, Desa Rappoa, Kecamatan Pajukukukang, Kabupaten Bantaeng",19-08-2025,SULAWESI SELATAN,Wilayah III,"Muh Ihsan Hidayat. B.,S.Pt",,"Bantaeng Pajukukang Pa`jukukang Jalan Pemukiman Kampung Toa, Desa Rappoa, Kecamatan Pajukukukang, Kabupaten Bantaeng SULAWESI SELATAN"
SPPG Banyuwangi Banyuwangi Pakis,"Jl Nuri No 49 RT 003/ RW 002 Lingk. Krajan, Kelurahan Pakis, Kecamatan Banyuwangi, Kabupaten Banyuwangi, Provinsi Jawa Timur",29-07-2025,JAWA TIMUR,Wilayah II,Dafi Azka Banurella Zhuhri,,"Banyuwangi Banyuwangi Pakis Jl Nuri No 49 RT 003/ RW 002 Lingk. Krajan, Kelurahan Pakis, Kecamatan Banyuwangi, Kabupaten Banyuwangi, Provinsi Jawa Timur JAWA TIMUR"
SPPG Banyuwangi Genteng Kaligondo,Desa kaligondo desun wadung dolah rt/rw 17/05,25-07-2025,JAWA TIMUR,Wilayah II,Ilham wahyudi,Yayasan Sosial Babul Huda Kaligondo,Banyuwangi Genteng Kaligondo Desa kaligondo desun wadung dolah rt/rw 17/05 JAWA TIMUR
SPPG Banyuwangi Siliragung Siliragung,"SPPG Forum Kyai Kampung Banyuwangi RT 004/RW 004, Dusun Krajan, Desa Siliragung, Kecamatan Siliragung, Kabupaten Banyuwangi, Provinsi Jawa Timur",31-07-2025,JAWA TIMUR,Wilayah II,Satria Aris Wahyugo,,"Banyuwangi Siliragung Siliragung  Forum Kyai Kampung Banyuwangi RT 004/RW 004, Dusun Krajan, Desa Siliragung, Kecamatan Siliragung, Kabupaten Banyuwangi, Provinsi Jawa Timur JAWA TIMUR"
SPPG Banyuwangi Siliragung Siliragung 2,"Dusun Krajan RT 01/RW 04, Dusun Siliragung, Kecamatan Siliragung, Kabupaten Banyuwangi, Provinsi Jawa Timur",24-08-2025,JAWA TIMUR,Wilayah II,Mohamad Yahya Rosuli,,"Banyuwangi Siliragung Siliragung 2 Dusun Krajan RT 01/RW 04, Dusun Siliragung, Kecamatan Siliragung, Kabupaten Banyuwangi, Provinsi Jawa Timur JAWA TIMUR"
SPPG Barito Timur Dusun Tengah Ampah Kota 2,"Jl. Ampah Muara Teweh Rt 36 Kelurahan Ampah Kota, Kec : Dusun Tengah, Kab: Barito Timur, Ampah Kota, Dusun Tengah, Kabupaten Barito Timur, Kalimantan Tengah",20-09-2025,KALIMANTAN TENGAH,Wilayah III,Eni Dia,,"Barito Timur Dusun Tengah Ampah Kota 2 Jl. Ampah Muara Teweh Rt 36 Kelurahan Ampah Kota, Kec : Dusun Tengah, Kab: Barito Timur, Ampah Kota, Dusun Tengah, Kabupaten Barito Timur, Kalimantan Tengah KALIMANTAN TENGAH"
SPPG Batang Batang Karangasem Utara,"Bangunsari Barat, RT01 RW04, Proyonanggan Tengah, Batang",17-03-2025,JAWA TENGAH,Wilayah II,Muhammad Sigit Prasetyo,,"Batang Batang Karangasem Utara Bangunsari Barat, RT01 RW04, Proyonanggan Tengah, Batang JAWA TENGAH"
SPPG Batanghari Pemayung Jembatan Mas,"Jalan Jambi-Muara Bulian KM 37 RT 10, Kelurahan Jembatan Mas, Kecamatan Pemayung, Kabupaten Batang Hari, Provinsi Jambi",22-08-2025,JAMBI,Wilayah I,Tanti Cintya Fadilla,,"Batanghari Pemayung Jembatan Mas Jalan Jambi-Muara Bulian KM 37 RT 10, Kelurahan Jembatan Mas, Kecamatan Pemayung, Kabupaten Batang Hari, Provinsi Jambi JAMBI"
SPPG Batanghari Pemayung Lopak Aur,"Jl. Lintas Jambi Muaro Bulian Rt05 Desa Lopak Aur, Kec. Pemayung, Kab. Batang Hari, Provinsi Jambi",19-09-2025,JAMBI,Wilayah I,Oji Saputra,,"Batanghari Pemayung Lopak Aur Jl. Lintas Jambi Muaro Bulian Rt05 Desa Lopak Aur, Kec. Pemayung, Kab. Batang Hari, Provinsi Jambi JAMBI"
SPPG Batu Bara Air Putih Indrasakti,"JL. LINTAS MEDAN - ASAHAN, KELURAHAN INDRASAKTI, KECAMATAN AIR PUTIH, KABUPATEN BATUBARA",02-06-2025,SUMATERA UTARA,Wilayah I,Syahriza Irtantri,Yayasan Durrotul Kareem Nusantara,"Batu Bara Air Putih Indrasakti JL. LINTAS MEDAN - ASAHAN, KELURAHAN INDRASAKTI, KECAMATAN AIR PUTIH, KABUPATEN BATUBARA SUMATERA UTARA"
SPPG Belu Atambua Selatan Manuaman,"Jalan Loro Lamaknen Tini, RT 010, RW 002, Kelurahan Manuaman, Kecamatan Atambua Selatan, Kabupaten Belu NTT",27-09-2025,NUSA TENGGARA TIMUR,Wilayah III,Jefrianus Julius Mau,,"Belu Atambua Selatan Manuaman Jalan Loro Lamaknen Tini, RT 010, RW 002, Kelurahan Manuaman, Kecamatan Atambua Selatan, Kabupaten Belu NTT NUSA TENGGARA TIMUR"
SPPG Bener Meriah Timang Gajah Mekar Ayu,"Jl. Lampahan Bireun- Desa Mekar Ayu Kecamatan Timang Gajah Kabupaten Bener Meriah, Mekar Ayu, Timang Gajah, Kab. Bener Meriah, Aceh",27-09-2025,ACEH,Wilayah I,Abdillah,,"Bener Meriah Timang Gajah Mekar Ayu Jl. Lampahan Bireun- Desa Mekar Ayu Kecamatan Timang Gajah Kabupaten Bener Meriah, Mekar Ayu, Timang Gajah, Kab. Bener Meriah, Aceh ACEH"
SPPG Bengkalis Rupat Utara Titi Akar,"Jl. Batin Cendawan Rt 001 Rw 001 Desa Titi Akar Kecamatan Rupat Utara Kabupaten Bengkalis, Riau",07-10-2025,RIAU,Wilayah I,Siti Nurmila Sari,,"Bengkalis Rupat Utara Titi Akar Jl. Batin Cendawan Rt 001 Rw 001 Desa Titi Akar Kecamatan Rupat Utara Kabupaten Bengkalis, Riau RIAU"
SPPG Bengkulu Utara Padang Jaya Marga Sakti,"Jl. Ahmad Yani Desa Marga Sakti Kecamatan Padang Jaya Kabupaten Bengkulu Utara Provinsi Bengkulu, Marga Sakti, Padang Jaya, Kab. Bengkulu Utara, Bengkulu",29-09-2025,BENGKULU,Wilayah I,Hendy Rasyid Kurniawan,,"Bengkulu Utara Padang Jaya Marga Sakti Jl. Ahmad Yani Desa Marga Sakti Kecamatan Padang Jaya Kabupaten Bengkulu Utara Provinsi Bengkulu, Marga Sakti, Padang Jaya, Kab. Bengkulu Utara, Bengkulu BENGKULU"
SPPG Biak Numfor Numfor Timur Kornasoren,Jl. Desa Kornasoren Distrik Numfor Timur Kabupaten Biak Numfor Provinsi Papua,26-08-2025,P A P U A,Wilayah III,Ardy Kalamma,,Biak Numfor Numfor Timur Kornasoren Jl. Desa Kornasoren Distrik Numfor Timur Kabupaten Biak Numfor Provinsi Papua P A P U A
